gdb_id,canonical_smiles,smiles,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,homo_energy,lumo_energy,dipole_moment,kmeans_cluster,hdbscan_cluster
1,C,C,16.043,0.6361,0.0,0,0,0,-0.3877,0.1171,0.0,2,-1
2,N,N,17.031,0.16199999999999998,35.0,1,1,0,-0.257,0.0829,1.6256,2,-2
3,O,O,18.015,-0.8247,31.5,0,0,0,-0.2928,0.0687,1.8511,2,-2
4,C#C,C#C,26.037999999999997,0.24939999999999998,0.0,0,0,0,-0.2845,0.0506,0.0,2,-2
5,C#N,C#N,27.025999999999996,0.13978,23.79,0,1,0,-0.3604,0.0191,2.8937,2,-2
6,C=O,C=O,30.026,-0.1849,17.07,0,1,0,-0.267,-0.0406,2.1089,2,-2
7,CC,CC,30.07,1.0262,0.0,0,0,0,-0.3385,0.1041,0.0,2,-2
8,CO,CO,32.042,-0.3915,20.23,1,1,0,-0.2653,0.0784,1.5258,2,-2
9,C#CC,C#CC,40.065,0.6395,0.0,0,0,0,-0.2609,0.0613,0.7156,2,-2
10,CC#N,CC#N,41.053,0.52988,23.79,0,1,0,-0.3264,0.0376,3.8266,2,-2
11,CC=O,CC=O,44.053,0.2052,17.07,0,1,0,-0.254,-0.0198,2.5682,2,-2
12,NC=O,NC=O,45.041,-0.8985000000000001,43.09,1,1,0,-0.2543,0.0302,3.7286,2,-2
13,CCC,CCC,44.096999999999994,1.4163,0.0,0,0,0,-0.323,0.0949,0.0597,2,-2
14,CCO,CCO,46.069,-0.0014000000000000123,20.23,1,1,0,-0.2619,0.0798,1.4131,2,-2
15,COC,COC,46.069,0.26260000000000006,9.23,0,1,0,-0.2525,0.091,1.1502,2,-2
16,C1CC1,C1CC1,42.080999999999996,1.1703,0.0,0,0,0,-0.2888,0.1042,0.0005,2,-2
17,C1CO1,C1CO1,44.053,0.016600000000000004,12.53,0,1,0,-0.2682,0.1042,1.7675,2,-2
18,CC(C)=O,CC(C)=O,58.080000000000005,0.5952999999999999,17.07,0,1,0,-0.2431,-0.0087,2.7362,2,-2
19,CC(N)=O,CC(N)=O,59.068,-0.5084000000000002,43.09,1,1,0,-0.2436,0.0347,3.6367,2,-2
20,NC(N)=O,NC(N)=O,60.056,-0.9762000000000002,69.11,2,1,0,-0.2495,0.0556,3.4869,2,-2
21,CC(C)C,CC(C)C,58.123999999999995,1.6622999999999999,0.0,0,0,0,-0.3167,0.0843,0.0897,2,-2
22,CC(C)O,CC(C)O,60.096000000000004,0.38710000000000006,20.23,1,1,0,-0.2612,0.074,1.4259,2,-2
23,C#CC#C,C#CC#C,50.059999999999995,0.2528,0.0,0,0,0,-0.2599,-0.0214,0.0,2,-2
24,C#CC#N,C#CC#N,51.047999999999995,0.14318,23.79,0,1,0,-0.3102,-0.0543,3.792,2,-1
25,N#CC#N,N#CC#N,52.035999999999994,0.03356,47.58,0,2,0,-0.3696,-0.0926,0.0023,2,-2
26,C#CC=O,C#CC=O,54.048,-0.1815,17.07,0,1,0,-0.2777,-0.0735,2.7824,2,-2
27,N#CC=O,N#CC=O,55.036,-0.29112,40.86,0,2,0,-0.3166,-0.11,2.3112,2,-2
28,O=CC=O,O=CC=O,58.036,-0.6158000000000001,34.14,0,2,1,-0.2668,-0.1113,0.002,2,-2
29,CC#CC,CC#CC,54.092,1.0296,0.0,0,0,0,-0.2412,0.0684,0.0,2,-2
30,C#CCC,C#CCC,54.092,1.0295999999999998,0.0,0,0,0,-0.2592,0.0566,0.7067,2,-2
31,CCC#N,CCC#N,55.07999999999999,0.91998,23.79,0,1,0,-0.3213,0.034,3.9233,2,-2
32,N#CCN,N#CCN,56.06799999999999,-0.53132,49.81,1,2,0,-0.2683,0.0173,4.4361,2,-1
33,C#CCO,C#CCO,56.064,-0.3881,20.23,1,1,0,-0.2595,0.0277,1.7211,2,-2
34,N#CCO,N#CCO,57.052,-0.49772,44.019999999999996,1,2,0,-0.3018,0.0022,4.6788,2,-1
35,CCC=O,CCC=O,58.08,0.5952999999999999,17.07,0,1,1,-0.25,-0.0205,2.6741,2,-2
36,CNC=O,CNC=O,59.068000000000005,-0.6378000000000001,29.1,1,1,1,-0.2516,0.0335,3.7071,2,-1
37,COC=O,COC=O,60.05200000000001,-0.2108000000000001,26.3,0,2,1,-0.2814,0.0074,3.92,2,-2
38,O=CCO,O=CCO,60.052,-0.8224,37.3,1,2,1,-0.2537,-0.0341,1.7341,2,-2
39,CCCC,CCCC,58.123999999999995,1.8064,0.0,0,0,1,-0.317,0.0937,0.0,2,-2
40,CCCO,CCCO,60.096,0.3887,20.23,1,1,1,-0.2619,0.081,1.3402,2,-1
41,CCOC,CCOC,60.096000000000004,0.6527000000000001,9.23,0,1,1,-0.2503,0.0925,1.0363,2,-2
42,OCCO,OCCO,62.068000000000005,-1.0290000000000001,40.46,2,2,1,-0.2594,0.0584,0.0075,2,-2
43,CC1CC1,CC1CC1,56.108,1.4163,0.0,0,0,0,-0.2727,0.1012,0.1136,2,-2
44,CC1CO1,CC1CO1,58.08,0.4051,12.53,0,1,0,-0.2633,0.1052,1.812,2,-2
45,CN1CC1,CN1CC1,57.096,-0.06820000000000004,3.01,0,1,0,-0.2304,0.0968,1.1353,2,-1
46,OC1CC1,OC1CC1,58.07999999999999,0.1411,20.23,1,1,0,-0.239,0.0775,1.3894,2,-2
47,C1CCC1,C1CCC1,56.108,1.5604,0.0,0,0,0,-0.2982,0.0956,0.0,2,-2
48,C1COC1,C1COC1,58.07999999999999,0.40670000000000006,9.23,0,1,0,-0.2424,0.0859,1.7978,2,-2
49,CC(C)=NO,CC(C)=NO,73.095,0.8564,32.59,1,2,0,-0.2392,0.0192,0.6875,2,-2
50,c1cc[nH]c1,c1cc[nH]c1,67.091,1.0147,15.79,1,0,0,-0.2029,0.0499,1.8689,2,-2
51,c1c[nH]cn1,c1c[nH]cn1,68.079,0.40969999999999995,28.68,1,1,0,-0.2253,0.0332,3.6193,2,-2
52,c1ccoc1,c1ccoc1,68.07499999999999,1.2795999999999998,13.14,0,1,0,-0.2246,0.0199,0.5571,2,-2
53,c1cocn1,c1cocn1,69.063,0.6745999999999999,26.03,0,2,0,-0.2509,0.001,1.5081,2,-2
54,CC(C)(C)C,CC(C)(C)C,72.151,2.0524,0.0,0,0,0,-0.3145,0.0737,0.0003,2,-2
55,CC(C)(C)O,CC(C)(C)O,74.12299999999999,0.7771999999999999,20.23,1,1,0,-0.2601,0.0664,1.384,2,-2
56,C#CC(C)=O,C#CC(C)=O,68.07499999999999,0.2086,17.07,0,1,0,-0.2654,-0.0575,2.8579,2,-2
57,CC(=O)C#N,CC(=O)C#N,69.063,0.09897999999999996,40.86,0,2,0,-0.3007,-0.0889,3.3351,2,-2
58,N#CC(=N)N,N#CC(=N)N,69.06700000000001,-0.5540500000000002,73.66,2,2,0,-0.2739,-0.0438,5.1815,1,-2
59,C#CC(N)=O,C#CC(N)=O,69.06299999999999,-0.8951,43.09,1,1,0,-0.2629,-0.0277,3.7167,2,-2
60,CC(=O)C=O,CC(=O)C=O,72.063,-0.2257,34.14,0,2,1,-0.2538,-0.0964,0.9461,2,-2
61,N=C(N)C=O,N=C(N)C=O,72.06700000000001,-0.87873,66.94,2,2,1,-0.2561,-0.064,2.7707,1,-2
62,NC(=O)C=O,NC(=O)C=O,73.051,-1.3294000000000001,60.160000000000004,1,2,1,-0.2533,-0.0763,5.1668,0,-2
63,C#CC(C)C,C#CC(C)C,68.119,1.2755999999999998,0.0,0,0,0,-0.2589,0.0571,0.6578,2,-1
64,CC(C)C#N,CC(C)C#N,69.107,1.16598,23.79,0,1,0,-0.318,0.0365,3.9512,2,-2
65,CC(N)C#N,CC(N)C#N,70.095,-0.14281999999999984,49.81,1,2,0,-0.2704,0.0278,2.7429,2,-2
66,C#CC(C)O,C#CC(C)O,70.091,0.00040000000000001146,20.23,1,1,0,-0.2665,0.0336,1.3582,2,-2
67,CC(O)C#N,CC(O)C#N,71.07900000000001,-0.10922000000000004,44.019999999999996,1,2,0,-0.3051,0.0115,3.269,2,-2
68,CC(C)C=O,CC(C)C=O,72.107,0.8412999999999999,17.07,0,1,1,-0.2469,-0.0188,2.6921,2,-2
